matchkey_skill_norm,example_original,freq_candidates,freq_jobs,freq_total,source,match_type,esco_uri,esco_preferred_label,similarity,best_candidate_below_threshold
hybrid work,hybrid work,0,2,2,job,fuzzy,http://data.europa.eu/esco/skill/67a118f4-8a5f-48f7-8e5f-de34b9ca2c37,Hybrid model,0.7761,
machine learning libraries,Machine Learning libraries,0,2,2,job,none,,,0.5482,utilise machine learning
sparql,SPARQL,0,2,2,job,exact,http://data.europa.eu/esco/skill/5da8018b-ae85-4cde-ad93-0394369018f3,SPARQL,1.0,
gremlin,Gremlin,0,2,2,job,none,,,0.2785,Greek
cypher,Cypher,0,2,2,job,none,,,0.2202,use ICT peripherals
aws neptune,AWS Neptune,0,2,2,job,none,,,0.3112,tune a projector
neo4j,Neo4j,0,2,2,job,none,,,0.3358,neonatology
graphrag,GraphRAG,0,2,2,job,none,,,0.4356,graphite
ownership,ownership,0,2,2,job,none,,,0.4761,instruct animal owners
continuous delivery focus,continuous delivery focus,0,2,2,job,none,,,0.5461,operate continuous miner
datadog,Datadog,0,2,2,job,none,,,0.3354,manage data
elk,ELK,0,2,2,job,none,,,0.2005,milk animals
grafana,Grafana,0,2,2,job,none,,,0.2718,graffiti removal techniques
prometheus,Prometheus,0,2,2,job,none,,,0.2489,mass spectrometry
networking,Networking,0,2,2,job,contains,http://data.europa.eu/esco/skill/f9e788df-d68a-4f92-92c7-80e135fc35ff,ICT networking hardware,0.3333,
data analytics,Data Analytics,0,2,2,job,fuzzy,http://data.europa.eu/esco/skill/1605025e-a179-421f-8f35-5b07d182a6b2,web analytics,0.7574,
entorno colaborativo,Entorno colaborativo,0,2,2,job,none,,,0.3418,establish collaborative relations
plan de retribucion flexible,Plan de retribución flexible,0,2,2,job,none,,,0.5152,perform services in a flexible manner
sap,SAP,0,2,2,job,contains,http://data.europa.eu/esco/skill/bb99af26-71ff-4dca-bde7-1eb1f6194426,SAP R3,0.5,
sharepoint,SharePoint,0,2,2,job,none,,,0.3877,operate cash point
dataverse,Dataverse,0,2,2,job,none,,,0.2853,reverse engineering
ai builder,AI Builder,0,2,2,job,none,,,0.5359,Oracle Warehouse Builder
cheques guarderia,Cheques guardería,0,2,2,job,none,,,0.2267,position guardrails and toeboards
capacidad de aprender,Capacidad de aprender,0,2,2,job,none,,,0.3945,plan ICT capacity
analitica de datos,Analítica de datos,0,2,2,job,none,,,0.2267,political parties
proyectos de alto impacto,Proyectos de alto impacto,0,2,2,job,none,,,0.3387,wheel impact load detector
diversidad e inclusion,Diversidad e inclusión,0,2,2,job,none,,,0.6271,promote inclusion
top employer,Top Employer,0,2,2,job,none,,,0.4839,train employees
modalidad hibrida,modalidad híbrida,0,2,2,job,none,,,0.355,create cooperation modalities
toma de decisiones y resolucion de problemas,Toma de decisiones y resolución de problemas,0,2,2,job,none,,,0.3754,make decisions
ms power platform,MS Power Platform,0,2,2,job,none,,,0.5665,ICT help platforms
copilot m365,Copilot M365,0,2,2,job,none,,,0.4341,pilot vessel into ports
office 365,Office 365,0,2,2,job,fuzzy,http://data.europa.eu/esco/skill/5a234b3b-63b4-482f-b481-a1ff9d95bbf8,office equipment,0.77,
preocupacion por la calidad,Preocupación por la calidad,0,2,2,job,none,,,0.215,apply validation engineering
elt,ELT,0,2,2,job,none,,,0.4056,melt wax
herramientas ofimaticas,Herramientas ofimáticas,0,2,2,job,none,,,0.1854,communicate mathematical information
seguro medico privado,Seguro médico privado,0,2,2,job,none,,,0.2799,maintain privacy
flexibilidad laboral,Flexibilidad laboral,0,2,2,job,none,,,0.353,perform services in a flexible manner
ollama,Ollama,0,2,2,job,none,,,0.2273,develop drama production process
programacion,Programación,0,2,2,job,none,,,0.3915,web programming
programacion en python,Programación en Python,0,2,2,job,none,,,0.6051,Python (computer programming)
medidas de conciliacion vida personal y profesional,Medidas de conciliación vida personal y profesional,0,2,2,job,none,,,0.513,manage personal professional development
cacao,CACAO,0,2,2,job,contains,http://data.europa.eu/esco/skill/7c4feb5c-6c67-4b05-8d00-9e63c3b8ba7e,roasted cacao beans,0.3333,
nist,NIST,0,2,2,job,none,,,0.237,assist psychologist
mitre,MITRE,0,2,2,job,none,,,0.177,mitigate waste of resources
anchors,Anchors,0,2,2,job,contains,http://data.europa.eu/esco/skill/c77672f9-68e5-49fd-8131-2eb8ed87b889,guide placement of anchors,0.25,
cloud deployment,Cloud deployment,0,2,2,job,none,,,0.6084,manage ICT system deployment
acceso a plataformas de aprendizaje,Acceso a plataformas de aprendizaje,0,2,2,job,none,,,0.262,manage information access aids
microsoft office 365,Microsoft Office 365,0,2,2,job,fuzzy,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,use microsoft office,0.9714,
blazor,Blazor,0,2,2,job,none,,,0.2711,blast surface
.net c#,.NET C#,0,2,2,job,none,,,0.5478,C#
consultoria,Consultoría,0,2,2,job,none,,,0.5001,consultation
confluence,Confluence,0,2,2,job,none,,,0.538,influence legislators
soporte tecnico y comercial,soporte técnico y comercial,0,2,2,job,none,,,0.4575,commercial law
exclusividad provincial,exclusividad provincial,0,2,2,job,none,,,0.2716,promote inclusion
semantic kernel,Semantic Kernel,0,2,2,job,fuzzy,http://data.europa.eu/esco/skill/e6ee5bb8-12b9-4e60-8baf-102d0c4f1da5,semantics,0.7092,
azureml,AzureML,0,2,2,job,none,,,0.1711,apply procurement
autogpt,AutoGPT,0,2,2,job,none,,,0.3513,building automation
model deployment,Model deployment,0,2,2,job,none,,,0.6823,manage ICT system deployment
data science,Data Science,0,2,2,job,fuzzy,http://data.europa.eu/esco/skill/78521a78-d0b6-41ca-ae11-d1af9da8a3cb,food science,0.7022,
heygen,Heygen,0,2,2,job,none,,,0.4476,transfer oxygen
davinci resolve,Davinci Resolve,0,2,2,job,none,,,0.5354,resolve shipment issues
premiere pro,Premiere Pro,0,2,2,job,none,,,0.4211,prepare premises
comunicacion efectiva,Comunicación efectiva,0,2,2,job,none,,,0.3078,communicate effectively in healthcare
ros,ROS,0,2,2,job,none,,,0.2454,iOS
visibilidad internacional,visibilidad internacional,0,2,2,job,none,,,0.3921,international law
rigor cientifico,rigor científico,0,2,2,job,none,,,0.4391,analyse scientific data
telemedicina,telemedicina,0,2,2,job,none,,,0.4117,test medicinal products
diagnostico asistido por ia,diagnóstico asistido por IA,0,2,2,job,none,,,0.5125,diagnostic radiology
dermatologia clinica,dermatología clínica,0,2,2,job,fuzzy,http://data.europa.eu/esco/skill/11190c86-bf63-4d98-be9a-fbee97c9f93a,dermatology,0.7132,
simulink,Simulink,0,2,2,job,none,,,0.4147,run simulations
plan de carrera,Plan de carrera,0,2,2,job,none,,,0.3127,plan events
microsoft office,Microsoft Office,0,2,2,job,contains,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,use microsoft office,0.6667,
cloud storage,Cloud Storage,0,2,2,job,none,,,0.5577,cloud technologies
remote/hybrid work,Remote/hybrid work,0,2,2,job,none,,,0.569,Hybrid model
data visualization,Data Visualization,0,2,2,job,none,,,0.526,prepare visual data
variable anual vinculado a la consecucion de objetivos,Variable anual vinculado a la consecución de objetivos,0,2,2,job,none,,,0.1882,translate spoken language consecutively
modalidad de trabajo hibrida,Modalidad de trabajo híbrida,0,2,2,job,none,,,0.3231,create cooperation modalities
plan de carrera y desarrollo profesional,Plan de carrera y desarrollo profesional,0,2,2,job,none,,,0.3638,plan presence at professional events
lime,Lime,0,2,2,job,contains,http://data.europa.eu/esco/skill/e7d72d3c-a477-44aa-ab75-5b6e6acc772f,produce slaked lime,0.3333,
shap,SHAP,0,2,2,job,none,,,0.5125,shape clay
redis,Redis,0,2,2,job,none,,,0.3973,redistribute wagered money
elasticsearch,Elasticsearch,0,2,2,job,none,,,0.3891,search engines
grpc,gRPC,0,2,2,job,none,,,0.2416,IPC standards
nexus,Nexus,0,2,2,job,none,,,0.3525,Nexpose
ant,Ant,0,2,2,job,none,,,0.2436,keep grant applicant informed
team coordination,Team Coordination,0,2,2,job,none,,,0.6266,coordinate communication within a team
cloud functions,Cloud Functions,0,2,2,job,none,,,0.5282,cloud technologies
internal training,internal training,0,2,2,job,none,,,0.5265,animal training
trabajo en entornos multiculturales,trabajo en entornos multiculturales,0,1,1,job,none,,,0.5006,work in a multicultural environment in health care
apache beam,Apache Beam,0,1,1,job,none,,,0.5837,Apache Maven
remuneracion competitiva,Remuneración competitiva,0,1,1,job,none,,,0.55,competition law
acceso a ultimas tecnologias,Acceso a últimas tecnologías,0,1,1,job,none,,,0.2361,use rope access techniques
beneficios sociales adicionales,Beneficios sociales adicionales,0,1,1,job,none,,,0.363,advise on social security benefits
software industrial,Software industrial,0,1,1,job,contains,http://data.europa.eu/esco/skill/41ec47dd-08b3-464a-9c45-c706f3e74467,industrial software,1.0,
industria 4.0,Industria 4.0,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/efacdaad-ab73-4056-bee3-4eb34b458bf6,industrial design,0.7001,
plan director it/ot,Plan Director IT/OT,0,1,1,job,none,,,0.6327,follow directions of the artistic director
implementacion de soluciones,Implementación de soluciones,0,1,1,job,none,,,0.3829,implement instructions
diseno de arquitecturas de datos,Diseño de arquitecturas de datos,0,1,1,job,none,,,0.3091,architectural design
salary up to 36k,Salary up to 36k,0,1,1,job,none,,,0.4022,determine salaries
remote work 90% (1 day on‐site in madrid),Remote work 90% (1 day on‑site in Madrid),0,1,1,job,none,,,0.3701,use remote control equipment
employee benefits club with discounts,Employee benefits club with discounts,0,1,1,job,none,,,0.4248,calculate benefits
unlimited access to cutting‐edge tech training,Unlimited access to cutting‑edge tech training,0,1,1,job,none,,,0.3281,provide training
childcare tickets,Childcare tickets,0,1,1,job,none,,,0.6683,sell tickets
tickets restaurant,Tickets restaurant,0,1,1,job,none,,,0.6479,manage restaurant service
client communication,Client communication,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/2fbf0966-18bc-429c-8b0d-e7ab86d5788b,teach communication to clients,0.8065,
self-management,Self-management,0,1,1,job,contains,http://data.europa.eu/esco/skill/624d9fff-370d-4001-9481-9c86129fd84f,provide self management support,0.5,
salesforce aura,Salesforce Aura,0,1,1,job,none,,,0.3136,air force operations
salesforce lightning,Salesforce Lightning,0,1,1,job,none,,,0.524,install lightning protection system
other ai knowledge,Other AI knowledge,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926,assess ICT knowledge,0.726,
banking knowledge,Banking knowledge,0,1,1,job,none,,,0.676,assess ICT knowledge
aura components,Aura components,0,1,1,job,none,,,0.687,pen components
lightning components,Lightning components,0,1,1,job,none,,,0.5349,install lightning protection system
integrations,Integrations,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/6fa1c2c0-a012-4ca0-9642-e01569ba322c,ICT system integration,0.7132,
unit testing,Unit Testing,0,1,1,job,contains,http://data.europa.eu/esco/skill/7961413f-61d0-4722-9cd9-20a050a29899,perform software unit testing,0.5,
nifi,NiFi,0,1,1,job,none,,,0.2307,unified modelling language
cloudera data platform,Cloudera Data Platform,0,1,1,job,none,,,0.4553,construct working platform
eclipse,Eclipse,0,1,1,job,contains,http://data.europa.eu/esco/skill/6b6a9252-2ed7-4862-a02f-1578f4a532ea,Eclipse (integrated development environment software),0.2,
open source participation,Open Source participation,0,1,1,job,none,,,0.5611,Open source model
linux administration,Linux administration,0,1,1,job,none,,,0.6074,education administration
cloudera,Cloudera,0,1,1,job,none,,,0.4933,cloud technologies
employee benefits club,Employee benefits club,0,1,1,job,none,,,0.5055,calculate benefits
collaborative work environment,Collaborative work environment,0,1,1,job,none,,,0.5683,work in cold environments
full-time schedule,Full-time schedule,0,1,1,job,none,,,0.5204,plan schedule
"salary 38,000-45,000 eur per year","Salary 38,000-45,000 EUR per year",0,1,1,job,none,,,0.2526,determine salaries
remote work (100% remote),Remote work (100% remote),0,1,1,job,none,,,0.5701,use remote control equipment
inclusion support for persons with disability,Inclusion support for persons with disability,0,1,1,job,none,,,0.4926,disability care
medical insurance after first year,Medical insurance after first year,0,1,1,job,none,,,0.4554,process medical insurance claims
performance and salary reviews every 6 months,Performance and salary reviews every 6 months,0,1,1,job,none,,,0.4236,book reviews
flexible lunch break,Flexible lunch break,0,1,1,job,none,,,0.5159,perform services in a flexible manner
"additional perks (events, welcome pack, baby basket, christmas basket, discount portal)","Additional perks (events, welcome pack, baby basket, Christmas basket, discount portal)",0,1,1,job,none,,,0.3834,perform basket weaving
team building events,Team building events,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/eab3bafa-eebb-47bf-85ce-e336c5019108,team building,0.8468,
gym discount,Gym discount,0,1,1,job,none,,,0.3087,count money
monthly utility bonus,Monthly utility bonus,0,1,1,job,none,,,0.4913,monitor utility equipment
birthday day off,Birthday day off,0,1,1,job,none,,,0.362,register birth
english lessons,English lessons,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,0.7072,
training and equipment budget,Training and equipment budget,0,1,1,job,none,,,0.542,training equipment for riding
medical and dental insurance,Medical and dental insurance,0,1,1,job,none,,,0.5985,process medical insurance claims
35 hours per week,35 hours per week,0,1,1,job,none,,,0.5297,calculate rates per hours
remote work (optional),Remote work (optional),0,1,1,job,none,,,0.4132,use remote control equipment
project ownership,Project Ownership,0,1,1,job,none,,,0.4223,manage ICT project
agile,Agile,0,1,1,job,contains,http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221,Agile development,0.5,
ranking systems,Ranking Systems,0,1,1,job,none,,,0.5985,systems thinking
unsupervised learning,Unsupervised Learning,0,1,1,job,none,,,0.5794,supervise spoken language learning
recommendation systems,Recommendation Systems,0,1,1,job,none,,,0.6858,make price recommendations
object-oriented programming,Object-Oriented Programming,0,1,1,job,contains,http://data.europa.eu/esco/skill/5b9cde20-f1b9-4adc-bfb3-dbf70b14138d,use object-oriented programming,0.75,
evaluation of generative ai systems with live data,Evaluation of generative AI systems with live data,0,1,1,job,none,,,0.4533,evaluate genetic data
model compression,Model compression,0,1,1,job,none,,,0.5619,operate compression rollers
model pruning,Model pruning,0,1,1,job,none,,,0.6989,pruning types
llm alignment,LLM alignment,0,1,1,job,none,,,0.3901,align content with form
llm fine-tuning,LLM fine-tuning,0,1,1,job,none,,,0.3636,tuning techniques
ai agent development,AI Agent development,0,1,1,job,none,,,0.519,Agile development
retrieval augmented generation (rag),Retrieval Augmented Generation (RAG),0,1,1,job,none,,,0.3224,set up generators
ia agente,IA Agente,0,1,1,job,none,,,0.4304,medical contrast agents
anomaly detection,Anomaly detection,0,1,1,job,none,,,0.4529,software anomalies
search engine development,Search engine development,0,1,1,job,none,,,0.6644,search engines
industrial generative ai,Industrial generative AI,0,1,1,job,none,,,0.5715,industrial design
software development lifecycle,Software development lifecycle,0,1,1,job,none,,,0.5883,oversee development of software
data mining,Data Mining,0,1,1,job,exact,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,data mining,1.0,
statistics,Statistics,0,1,1,job,exact,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,statistics,1.0,
rnn,RNN,0,1,1,job,none,,,0.0,3D body scanning technologies
cnn,CNN,0,1,1,job,none,,,0.21,tend CNC milling machine
capacidad de interlocucion con clientes,Capacidad de interlocución con clientes,0,1,1,job,none,,,0.32,lay interlocking roof tiles
habilidades interpersonales,Habilidades interpersonales,0,1,1,job,none,,,0.309,personal development
resolucion,Resolución,0,1,1,job,none,,,0.2959,resolve shipment issues
meticulosidad,Meticulosidad,0,1,1,job,none,,,0.2213,auriculotherapy
tecnicas de ia generativa,Técnicas de IA generativa,0,1,1,job,none,,,0.4357,set up generators
tecnicas de ia predictiva,Técnicas de IA predictiva,0,1,1,job,none,,,0.5449,build predictive models
publicaciones cientificas,Publicaciones científicas,0,1,1,job,none,,,0.3726,public law
master en ciberseguridad industrial,Máster en ciberseguridad industrial,0,1,1,job,none,,,0.5347,industrial design
stress tolerance,Stress tolerance,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/d15f8745-28f8-4abf-a7b6-6cb8a304efd2,tolerate stress,0.7824,
precision,Precision,0,1,1,job,contains,http://data.europa.eu/esco/skill/25c4cb91-d64b-48d1-a350-3527334a360d,precision engineering,0.5,
goal achievement,Goal achievement,0,1,1,job,none,,,0.4112,achieve sales targets
customer orientation,Customer orientation,0,1,1,job,none,,,0.5942,ensure client orientation
interpersonal communication,Interpersonal communication,0,1,1,job,none,,,0.6523,communication
time management,Time management,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/d9013e0e-e937-43d5-ab71-0e917ee882b8,manage time,0.7649,
organizational,Organizational,0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/fdf15b35-9028-4acb-bfd2-43f00a015cd9,use personal organization software,0.7175,
interpersonal,Interpersonal,0,1,1,job,none,,,0.504,personal development
versionado con git,Versionado con Git,0,1,1,job,none,,,0.4129,guide conversion
orquestacion con prefect,Orquestación con Prefect,0,1,1,job,none,,,0.2615,respect cultural preferences
orquestacion con airflow,Orquestación con Airflow,0,1,1,job,none,,,0.3164,control air flow
construccion de pipelines (apis/etl/elt),Construcción de pipelines (APIs/ETL/ELT),0,1,1,job,none,,,0.5801,types of pipelines
programacion en r,Programación en R,0,1,1,job,none,,,0.3602,web programming
seguridad y manejo de datos sensibles,Seguridad y manejo de datos sensibles,0,1,1,job,none,,,0.3548,Ansible
implementacion de soluciones de ia end-to-end,Implementación de soluciones de IA end-to-end,0,1,1,job,none,,,0.2942,implement instructions
desarrollo e integracion de apis y conectores de redes sociales,Desarrollo e integración de APIs y conectores de redes sociales,0,1,1,job,none,,,0.2273,integrate ICT data
diseno de modelos de datos y aseguramiento de calidad de datos,Diseño de modelos de datos y aseguramiento de calidad de datos,0,1,1,job,none,,,0.2459,data models
administracion de bases de datos sql y nosql,Administración de bases de datos SQL y NoSQL,0,1,1,job,none,,,0.5967,NoSQL
conocimiento de salesforce marketing cloud y ecosistema crm,Conocimiento de Salesforce Marketing Cloud y ecosistema CRM,0,1,1,job,none,,,0.372,draw up marketing and sales plan
social listening y analitica de rrss,Social Listening y analítica de RRSS,0,1,1,job,none,,,0.2975,listen actively
"definicion de metodologias, gobernanza y estandares de servicio","Definición de metodologías, gobernanza y estándares de servicio",0,1,1,job,none,,,0.2613,define quality standards
liderazgo de equipos de analisis de datos/ia,Liderazgo de equipos de análisis de datos/IA,0,1,1,job,none,,,0.1996,use chemical analysis equipment
ambiente multicultural,Ambiente multicultural,0,1,1,job,none,,,0.5917,work in a multicultural environment in health care
castellano,Castellano,0,1,1,job,none,,,0.2539,cast metal
campeonatos deportivos,Campeonatos deportivos,0,1,1,job,none,,,0.3176,neonatology
actividades en la naturaleza,Actividades en la naturaleza,0,1,1,job,none,,,0.491,natural gas
programa de wellbeing,Programa de wellbeing,0,1,1,job,none,,,0.5327,support children's wellbeing
entrenador personal,Entrenador personal,0,1,1,job,none,,,0.4422,personal development
vacaciones por puntos,Vacaciones por puntos,0,1,1,job,none,,,0.2082,lay stones
capacitacion,Capacitación,0,1,1,job,none,,,0.6482,plan ICT capacity
experiencia en laboratorios de inteligencia artificial,Experiencia en laboratorios de inteligencia artificial,0,1,1,job,none,,,0.4609,principles of artificial intelligence
experiencia en oficinas de innovacion,Experiencia en oficinas de innovación,0,1,1,job,none,,,0.4367,use experience map
diseno de experimentos y evaluacion de impacto,Diseño de experimentos y evaluación de impacto,0,1,1,job,none,,,0.4209,conduct experiments on animals
modelado causal,Modelado causal,0,1,1,job,none,,,0.3408,create model
visualizacion con d3.js,Visualización con D3.js,0,1,1,job,none,,,0.4323,prepare visual data
visualizacion con power bi,Visualización con Power BI,0,1,1,job,none,,,0.3686,use power tools
visualizacion con tableau,Visualización con Tableau,0,1,1,job,none,,,0.3478,prepare visual data
soluciones en la nube azure,Soluciones en la nube Azure,0,1,1,job,none,,,0.2217,lay stones
soluciones en la nube gcp,Soluciones en la nube GCP,0,1,1,job,none,,,0.2253,lay stones
soluciones en la nube aws,Soluciones en la nube AWS,0,1,1,job,none,,,0.2124,lay stones
modalidad remota,modalidad remota,0,1,1,job,none,,,0.3805,create cooperation modalities
diversity and inclusion,Diversity and inclusion,0,1,1,job,none,,,0.5842,promote inclusion
high impact projects,High impact projects,0,1,1,job,none,,,0.457,mitigate environmental impact of pipeline projects
gestion de proyectos complejos,Gestión de proyectos complejos,0,1,1,job,none,,,0.2357,hand gestures
analisis avanzado,Análisis avanzado,0,1,1,job,none,,,0.2179,manage social crisis
trabajo en equipos multidisciplinarios,Trabajo en equipos multidisciplinarios,0,1,1,job,none,,,0.642,work in multidisciplinary health teams
evaluacion de desempeno,Evaluación de desempeño,0,1,1,job,none,,,0.3962,evaluate events
hiring y onboarding,Hiring y onboarding,0,1,1,job,none,,,0.2702,repair wiring
gestion de talento,Gestión de talento,0,1,1,job,none,,,0.4389,identify talent in sport
storytelling ejecutivo,Storytelling ejecutivo,0,1,1,job,none,,,0.3108,tell a story
data lake,Data Lake,0,1,1,job,none,,,0.4735,manage data
evaluacion de sistemas ia generativa,Evaluación de sistemas IA Generativa,0,1,1,job,none,,,0.3338,evaluate genetic data
optimizacion de inferencia,Optimización de inferencia,0,1,1,job,none,,,0.3567,optimise production
compresion de modelos,Compresión de modelos,0,1,1,job,none,,,0.3834,operate compression rollers
bono de beneficios,Bono de beneficios,0,1,1,job,none,,,0.4706,communicate with beneficiaries
suscripcion a plataforma streaming (netflix),Suscripción a plataforma streaming (Netflix),0,1,1,job,none,,,0.2594,manage rivers and streams
"scripting (powershell, python)","Scripting (PowerShell, Python)",0,1,1,job,none,,,0.4063,use scripting programming
"certificaciones axis, hikvision, avigilon, milestone, ccna","Certificaciones Axis, Hikvision, Avigilon, Milestone, CCNA",0,1,1,job,none,,,0.2427,issue certificates for animal products
gestion de tickets y sla,Gestión de tickets y SLA,0,1,1,job,none,,,0.6236,sell tickets
"redes ip (vlan, gateways, nat, troubleshooting)","Redes IP (VLAN, gateways, NAT, troubleshooting)",0,1,1,job,none,,,0.6626,perform ICT troubleshooting
analiticas avanzadas de video,Analíticas avanzadas de video,0,1,1,job,none,,,0.3628,operate video equipment
integracion de plataformas cctv,Integración de plataformas CCTV,0,1,1,job,none,,,0.3788,integrate ICT data
proyectos de impacto,Proyectos de impacto,0,1,1,job,none,,,0.3655,wheel impact load detector
flexibilidad y trabajo por objetivos,Flexibilidad y trabajo por objetivos,0,1,1,job,none,,,0.3307,perform services in a flexible manner
formacion continua y certificaciones oficiales,Formación continua y certificaciones oficiales,0,1,1,job,none,,,0.318,issue certificates for animal products
uipath,UiPath,0,1,1,job,none,,,0.1796,pathology
buena comunicacion,Buena comunicación,0,1,1,job,none,,,0.3694,communication
change management,Change Management,0,1,1,job,contains,http://data.europa.eu/esco/skill/3c03ee71-4a23-448f-b79e-81fd75d27dca,apply change management,0.6667,
asesoramiento tecnico y normativo en ia,Asesoramiento técnico y normativo en IA,0,1,1,job,none,,,0.2867,normalise data
diseno de estrategias de ia,Diseño de estrategias de IA,0,1,1,job,none,,,0.3165,develop forestry strategies
ambiente diverso e inclusivo,Ambiente diverso e inclusivo,0,1,1,job,none,,,0.4697,promote inclusion
trabajo hibrido o remoto,Trabajo híbrido o remoto,0,1,1,job,none,,,0.2315,use remote control equipment
oportunidad de liderar estandares y escalar la operacion,Oportunidad de liderar estándares y escalar la operación,0,1,1,job,none,,,0.2852,perform escalation procedure
"proyecto con impacto real en clientes industriales, logisticos y de retail","Proyecto con impacto real en clientes industriales, logísticos y de retail",0,1,1,job,none,,,0.3689,assess impact of industrial activities
formacion y apoyo en certificaciones tecnicas,Formación y apoyo en certificaciones técnicas,0,1,1,job,none,,,0.3783,issue certificates for animal products
entorno innovador y dinamico,Entorno innovador y dinámico,0,1,1,job,none,,,0.3781,innovate in ICT
priorizacion,Priorización,0,1,1,job,none,,,0.458,adjust priorities
planificacion,Planificación,0,1,1,job,none,,,0.2874,tend planing machine
nat,NAT,0,1,1,job,none,,,0.3065,natural gas
vlan,VLAN,0,1,1,job,none,,,0.3432,plan events
ip,IP,0,1,1,job,none,,,0.2329,IPC standards
powershell,PowerShell,0,1,1,job,none,,,0.3885,sell power tools
axis,Axis,0,1,1,job,none,,,0.5123,log times of taxis
avigilon,Avigilon,0,1,1,job,none,,,0.3197,practice vigilance
hikvision,Hikvision,0,1,1,job,none,,,0.3142,Havok Vision
milestone,Milestone,0,1,1,job,none,,,0.3749,wash stone
experiencia en entornos de alta demanda y despliegues multi‐site,Experiencia en entornos de alta demanda y despliegues multi‑site,0,1,1,job,none,,,0.3555,use experience map
"familiaridad con itil y marcos de seguridad (iso 27001, nis2)","Familiaridad con ITIL y marcos de seguridad (ISO 27001, NIS2)",0,1,1,job,none,,,0.3078,familiarise yourself with the work to be remounted
salario 9€/hora bruto + incentivos por objetivos,Salario 9€/hora bruto + incentivos por objetivos,0,1,1,job,none,,,0.2984,determine salaries
ambiente dinamico e innovador con contacto directo con publico gamer y tech,Ambiente dinámico e innovador con contacto directo con público gamer y tech,0,1,1,job,none,,,0.2588,follow directions of the artistic director
hybrid/remote work,Hybrid/Remote work,0,1,1,job,none,,,0.5702,Hybrid model
altas dotes comunicativas,Altas dotes comunicativas,0,1,1,job,none,,,0.3632,communication
vocacion de servicio,Vocación de servicio,0,1,1,job,none,,,0.3115,provide advocacy interpreting services
formacion superior en ia,Formación superior en IA,0,1,1,job,none,,,0.3737,advise superiors on military operations
formacion superior en datos,Formación superior en Datos,0,1,1,job,none,,,0.3349,advise superiors on military operations
ingenieria del prompt,Ingeniería del prompt,0,1,1,job,none,,,0.4821,manage prompt book
herramientas de ia,Herramientas de IA,0,1,1,job,none,,,0.1981,ensure client orientation
redaccion de textos,Redacción de textos,0,1,1,job,none,,,0.2,cut textiles
randstad care (ofertas y descuentos exclusivos),Randstad Care (ofertas y descuentos exclusivos),0,1,1,job,none,,,0.1945,rescue animals
plan de retribucion flexible (tarjeta restaurante y cheques guarderia),Plan de retribución flexible (tarjeta restaurante y cheques guardería),0,1,1,job,none,,,0.389,manage restaurant service
plan de carrera con referente de randstad digital,Plan de carrera con referente de Randstad Digital,0,1,1,job,none,,,0.3801,plan digital marketing
acceso a plataforma e‐learning,Acceso a plataforma e‑learning,0,1,1,job,none,,,0.4317,e-learning
plan de formacion continua,Plan de formación continua,0,1,1,job,none,,,0.3996,maintain plan for continuity of operations
pasion por tecnologia y videojuegos,pasión por tecnología y videojuegos,0,1,1,job,none,,,0.2961,operate video equipment
passion for technology and innovation,Passion for technology and innovation,0,1,1,job,none,,,0.5475,innovation processes
llama,Llama,0,1,1,job,none,,,0.2785,develop drama production process
gpt,GPT,0,1,1,job,none,,,0.2252,operate GPS systems
"modelos llm (gpt, llama, mistral)","Modelos LLM (GPT, Llama, Mistral)",0,1,1,job,none,,,0.2834,create model
equity/stock options,Equity/stock options,0,1,1,job,none,,,0.3289,intermodal options
english (c1),English (C1),0,1,1,job,fuzzy,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,English,0.9645,
sla management,SLA management,0,1,1,job,none,,,0.6252,cost management
on-premise,On-premise,0,1,1,job,none,,,0.5585,prepare premises
software engineering,Software Engineering,0,1,1,job,contains,http://data.europa.eu/esco/skill/172020d1-e151-445b-8173-e2a5fb16fe51,utilise computer-aided software engineering tools,0.3333,
posibilidad de seguir en campanas,Posibilidad de seguir en campañas,0,1,1,job,none,,,0.2433,develop campaigns
formacion en producto y tecnicas de venta,Formación en producto y técnicas de venta,0,1,1,job,none,,,0.2521,check quality of products on the production line
formacion remunerada,Formación remunerada,0,1,1,job,none,,,0.2009,Teradata Database
